#Instance dat_num .col .dat
1-Fullins_3 reachable_01 ../../benchmark/ds-reconf-230425/original/1-FullIns_3.col ../../benchmark/ds-reconf-230425/original/1-FullIns_3_reachable_01.dat
1-Fullins_4 reachable_01 ../../benchmark/ds-reconf-230425/original/1-FullIns_4.col ../../benchmark/ds-reconf-230425/original/1-FullIns_4_reachable_01.dat
1-Fullins_5 reachable_01 ../../benchmark/ds-reconf-230425/original/1-FullIns_5.col ../../benchmark/ds-reconf-230425/original/1-FullIns_5_reachable_01.dat
1-Insertions_4 reachable_01 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_01.dat
1-Insertions_4 reachable_02 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_02.dat
1-Insertions_4 reachable_03 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_03.dat
1-Insertions_4 reachable_04 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_04.dat
1-Insertions_4 reachable_05 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_05.dat
1-Insertions_4 reachable_06 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_06.dat
1-Insertions_4 reachable_07 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_07.dat
1-Insertions_4 reachable_08 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_08.dat
1-Insertions_4 reachable_09 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_09.dat
1-Insertions_4 reachable_10 ../../benchmark/ds-reconf-230425/original/1-Insertions_4.col ../../benchmark/ds-reconf-230425/original/1-Insertions_4_reachable_10.dat
1-Insertions_5 reachable_01 ../../benchmark/ds-reconf-230425/original/1-Insertions_5.col ../../benchmark/ds-reconf-230425/original/1-Insertions_5_reachable_01.dat
1-Insertions_5 reachable_02 ../../benchmark/ds-reconf-230425/original/1-Insertions_5.col ../../benchmark/ds-reconf-230425/original/1-Insertions_5_reachable_02.dat
1-Insertions_5 reachable_03 ../../benchmark/ds-reconf-230425/original/1-Insertions_5.col ../../benchmark/ds-reconf-230425/original/1-Insertions_5_reachable_03.dat
1-Insertions_5 reachable_04 ../../benchmark/ds-reconf-230425/original/1-Insertions_5.col ../../benchmark/ds-reconf-230425/original/1-Insertions_5_reachable_04.dat
